Proj_Award,Proj_Funding_Country,Proj_Funding_Agency,Proj_Program_Code,Proj_Start_Year,Proj_End_Year,Proj_Title,Proj_AON,Proj_Initiative,Proj_Discipline,Proj_Institution,Proj_Contact_Name,Proj_Contact_Email,Proj_Contact_Phone,Proj_Contact_Role,Proj_Page_Link,Proj_Metadata_Link,Site_Name,Site_ID_AOV,Site_ID_Alt1,Site_ID_Alt2,Site_Country,Site_Place,Site_Lat,Site_Long,Site_Accuracy,Site_Depth,Site_Elevation,Site_Start_Year,Site_End_Year,Site_Start_Date,Site_End_Date,Site_Type,Site_GCMD_Science,Site_GCMD_Platform,Site_GCMD_Instrument,Data_Page_Link1,Data_Page_Link2,Data_Metadata_Link,db_Metadata_Sources,db_Metadata_Wrangler,db_Date_Created,db_Date_Export,db_Date_Modified,db_Notes,Site_Name_IDs,Site_Lat_Long,Site_Location_Country,Site_Abstract,Site_ID_BAID
1927713,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA Track 1: Collaborative Research: Resilience and adaptation to the effects of permafrost degradation induced coastal erosion,,,Biology,,"Alessa, Lilian",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1927713,,Logistics Base,,,,United States of America,"Nuiqsut, Arctic Alaska",70.22,-150.97,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1927778,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2023,NNA Track 1: Collaborative Research: Resilience and adaptation to the effects of permafrost degradation induced coastal erosion,,,Biology,,"Alessa, Lilian",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1927713,,Logistics Base,,,,United States of America,"Point Lay, Arctic Alaska",69.75,-163.05,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928235,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA Track 1: Collaborative Research: Resilience and adaptation to the effects of permafrost degradation induced coastal erosion,,,Biology,,"Alessa, Lilian",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1927713,,Logistics Base,,,,United States of America,"Utqiagvik (Barrow), Arctic Alaska",71.29,-156.77,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1928259,United States of America,NSF: National Science Foundation,GEO\ICER\NNA\,2019,2024,NNA Track 1: Collaborative Research: Resilience and adaptation to the effects of permafrost degradation induced coastal erosion,,,Biology,,"Alessa, Lilian",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1927713,,Logistics Base,,,,United States of America,"Wainwright, Arctic Alaska",70.64,-160.02,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1836523,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Arctic Village, Interior Alaska",68.13,-145.52,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1836523,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Atqasuk, Arctic Alaska",70.47,-157.38,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1836523,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Beaver Creek, Interior Alaska",66.35,-147.39,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1836523,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Bethel, West Alaska",60.79,-161.76,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1836523,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Chevak, West Alaska",61.52,-165.58,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
1848210,United States of America,NSF: National Science Foundation,GEO\OPP\ARC\AON\,2019,2024,NNA: Fresh Eyes on Ice: Connecting Arctic Communities through a Revitalized and Modernized Freshwater Ice Observation Network,Y,,Cryosphere,,"Arp, Christopher",,,Principal Investigator,https://api.battellearcticgateway.org/v1/reports/grant?proposal_number= 1836523,,Logistics Base,,,,United States of America,"Galena, Interior Alaska",64.73,-156.92,Logistics Base,,,,,,,,,,,,,,,,,,,,,,,,
